COUNTY,Age_Group_Less_than_1_year,Age_Group_or_more_years,Age_Group_years,Payer_Court/Law_Enforcement,"Payer_Discharged,_transferred_to_acute_facility","Payer_Discharged,_transferred_to_facility_that_provides_nursing,_custodial,_or_supportive_care","Payer_Discharged,_transferred_to_long_term_acute_care_facility_(LTAC)","Payer_Discharged,_transferred_to_psychiatric_facility","Payer_Discharged,_transferred_to_rehab_facility",Payer_Expired,Payer_GA,Payer_Hospice,Payer_Left_against_medical_advice,Payer_Medicaid,Payer_Medicare,Payer_Other,Payer_Other_government,Payer_Other/Unknown,"Payer_Patient_Disposition_Home,_self,_or_outpatient_care",Payer_Patient_Residence_State_NC,Payer_SC,Payer_TN,Payer_Total_Number_of_Visits,Payer_Uninsured,Payer_Unknown,Payer_VA,Point_of_Origin_Court/law_enforcement,Point_of_Origin_Information_not_available,Point_of_Origin_Newborn,"Point_of_Origin_Transfer_from_a_SNF,_ICF,_ALF",Point_of_Origin_Transfer_from_a_hospital_or_other_health_care_facility,Point_of_Origin_s_office,Race_African_American,Race_American_Indian,Race_Asian/Pacific_Islander,Race_Caucasian,Race_Ethnicity_Hispanic,Race_Ethnicity_Non_Hispanic,Race_Non_Hispanic,Race_Other_Race,Race_Unavailable,Race_Unknown
ROCKINGHAM,394.0,1238.0,35249.0,44.0,754.0,225.0,14.0,288.0,4.0,88.0,19.0,12.0,798.0,9645.0,5213.0,1128.0,513.0,124.0,34530.0,31804.0,35.0,16.0,0.0,7163.0,0.0,4846.0,13.0,0.0,0.0,32.0,35.0,76.0,12305.0,79.0,54.0,23145.0,1245.0,0.0,35441.0,1165.0,133.0,195.0
ROWAN,396.0,977.0,34613.0,70.0,692.0,329.0,42.0,902.0,22.0,49.0,56.0,54.0,2225.0,7535.0,3337.0,403.0,2801.0,0.0,31601.0,35359.0,94.0,19.0,0.0,6835.0,0.0,55.0,1.0,0.0,0.0,1.0,4.0,24.0,13108.0,114.0,138.0,20210.0,2286.0,0.0,33420.0,2206.0,210.0,280.0
RUTHERFORD,223.0,517.0,17029.0,42.0,441.0,167.0,0.0,40.0,1.0,168.0,16.0,6.0,423.0,4406.0,1476.0,223.0,368.0,0.0,16481.0,17389.0,177.0,23.0,0.0,3481.0,0.0,19.0,3.0,0.0,0.0,1.0,1.0,0.0,2915.0,5.0,48.0,14183.0,452.0,0.0,17205.0,506.0,112.0,112.0
SAMPSON,466.0,686.0,24808.0,0.0,755.0,64.0,0.0,341.0,0.0,27.0,14.0,7.0,889.0,7435.0,3642.0,136.0,719.0,0.0,23877.0,25739.0,43.0,6.0,0.0,5210.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,38.0,11028.0,266.0,35.0,10363.0,3738.0,0.0,22021.0,4109.0,159.0,201.0
SCOTLAND,692.0,721.0,41325.0,53.0,714.0,79.0,2.0,326.0,4.0,63.0,38.0,19.0,3440.0,15168.0,4519.0,186.0,691.0,90.0,37948.0,34827.0,7651.0,9.0,0.0,8161.0,0.0,27.0,11.0,25.0,0.0,38.0,1.0,2.0,17543.0,12618.0,201.0,11028.0,705.0,0.0,40211.0,271.0,1077.0,1822.0
STANLY,293.0,696.0,22501.0,192.0,673.0,294.0,0.0,196.0,0.0,25.0,15.0,17.0,771.0,5988.0,3791.0,109.0,417.0,10.0,21312.0,23277.0,71.0,5.0,0.0,4130.0,0.0,13.0,181.0,2.0,0.0,247.0,14.0,0.0,5846.0,97.0,185.0,16955.0,742.0,0.0,22234.0,11.0,396.0,514.0
STOKES,18.0,115.0,2836.0,10.0,134.0,32.0,3.0,1.0,0.0,1.0,3.0,1.0,33.0,761.0,874.0,17.0,157.0,22.0,2732.0,2856.0,5.0,2.0,0.0,515.0,0.0,86.0,3.0,2.0,0.0,0.0,1.0,76.0,15.0,2769.0,171.0,1.0,2913.0,0.0,56.0,0.0,13.0,0.0
SURRY,393.0,1533.0,34664.0,78.0,1818.0,110.0,1.0,263.0,6.0,54.0,46.0,14.0,1146.0,8917.0,5123.0,447.0,1056.0,12.0,33088.0,31023.0,52.0,20.0,0.0,3925.0,0.0,5107.0,58.0,0.0,0.0,3.0,14.0,112.0,2017.0,46.0,63.0,33808.0,2252.0,0.0,34268.0,500.0,156.0,70.0
SWAIN,99.0,205.0,6855.0,0.0,578.0,27.0,23.0,14.0,5.0,6.0,88.0,2.0,81.0,2103.0,1046.0,357.0,135.0,0.0,6423.0,6630.0,57.0,46.0,0.0,1362.0,0.0,11.0,0.0,1.0,0.0,0.0,4.0,2.0,83.0,265.0,25.0,6564.0,123.0,0.0,6905.0,136.0,86.0,131.0
TRANSYLVANIA,95.0,929.0,11954.0,15.0,1434.0,210.0,3.0,163.0,1.0,14.0,79.0,1.0,98.0,2809.0,2949.0,511.0,742.0,1.0,11038.0,12086.0,224.0,45.0,0.0,1949.0,0.0,33.0,39.0,46.0,0.0,153.0,12.0,184.0,753.0,29.0,52.0,11945.0,423.0,0.0,12527.0,15.0,184.0,28.0
TYRRELL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNION,718.0,1508.0,60235.0,125.0,1089.0,303.0,1.0,611.0,15.0,79.0,56.0,13.0,1455.0,14514.0,9055.0,537.0,1288.0,28.0,58742.0,45583.0,16213.0,28.0,0.0,11108.0,0.0,44.0,96.0,1.0,0.0,224.0,53.0,10.0,19292.0,506.0,500.0,38836.0,5772.0,0.0,55434.0,71.0,3256.0,1255.0
VANCE,255.0,627.0,19690.0,116.0,857.0,367.0,0.0,300.0,0.0,70.0,23.0,5.0,593.0,6132.0,3061.0,519.0,320.0,10.0,18254.0,20070.0,22.0,5.0,0.0,4336.0,0.0,261.0,0.0,0.0,0.0,71.0,0.0,53.0,13721.0,66.0,23.0,6330.0,710.0,0.0,19447.0,183.0,249.0,415.0
WAKE,6261.0,8291.0,279103.0,813.0,1888.0,3021.0,20.0,3510.0,218.0,414.0,363.0,220.0,3875.0,70254.0,29307.0,10780.0,12978.0,758.0,278918.0,288201.0,397.0,101.0,0.0,43504.0,0.0,748.0,451.0,1.0,0.0,1851.0,2146.0,5638.0,124535.0,538.0,4735.0,124419.0,33928.0,0.0,256002.0,34809.0,4619.0,3725.0
WARREN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WASHINGTON,33.0,55.0,2467.0,4.0,181.0,17.0,0.0,5.0,0.0,5.0,1.0,0.0,47.0,862.0,628.0,15.0,32.0,1.0,2295.0,2529.0,2.0,3.0,0.0,603.0,0.0,5.0,0.0,0.0,0.0,0.0,2488.0,0.0,1761.0,0.0,1.0,723.0,45.0,0.0,2497.0,50.0,20.0,13.0
WATAUGA,148.0,611.0,15825.0,10.0,409.0,58.0,3.0,201.0,3.0,33.0,103.0,3.0,619.0,2144.0,2734.0,824.0,461.0,27.0,15218.0,14642.0,223.0,693.0,0.0,2554.0,0.0,99.0,1.0,0.0,0.0,1.0,1.0,0.0,391.0,5.0,81.0,15191.0,561.0,0.0,15991.0,916.0,0.0,32.0
WAYNE,678.0,1202.0,47437.0,234.0,892.0,489.0,0.0,497.0,7.0,74.0,23.0,30.0,1264.0,11885.0,6148.0,2595.0,3572.0,63.0,45767.0,48788.0,53.0,11.0,0.0,10098.0,0.0,124.0,498.0,0.0,0.0,705.0,98.0,595.0,23292.0,89.0,192.0,22475.0,3912.0,0.0,45113.0,2866.0,403.0,292.0
WILKES,286.0,944.0,23343.0,9.0,1255.0,122.0,0.0,209.0,1.0,50.0,12.0,4.0,504.0,4592.0,2937.0,975.0,293.0,8.0,22411.0,24310.0,27.0,16.0,0.0,5968.0,0.0,49.0,5.0,0.0,0.0,125.0,28.0,34.0,1927.0,43.0,98.0,21359.0,1170.0,0.0,23364.0,1124.0,22.0,39.0
WILSON,338.0,903.0,31270.0,0.0,793.0,599.0,0.0,119.0,0.0,55.0,21.0,11.0,1372.0,8485.0,4356.0,915.0,599.0,14.0,29548.0,32146.0,30.0,7.0,0.0,7934.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,2.0,19680.0,24.0,26.0,10210.0,1918.0,0.0,30493.0,2471.0,100.0,100.0
YADKIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YANCEY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
