FIPS,County,State,RUCC_2013,UIC_2013,HPSA_PrimaryCare_2023,HPSA_Dental_2023,HPSA_Mental_2023,MDs_All_2021,MDs_PrimaryCare_perCap_2021,MDs_FamilyMed_2021,MDs_InternalMed_2021,MDs_Pediatrics_2021
37143,Perquimans,North Carolina,8.0,3.0,2.0,2.0,1.0,7.0,1.0,1.0,1.0,0.0
37145,Person,North Carolina,2.0,2.0,1.0,2.0,2.0,40.0,13.0,5.0,7.0,3.0
37147,Pitt,North Carolina,3.0,2.0,2.0,2.0,2.0,1359.0,187.0,100.0,93.0,66.0
37149,Polk,North Carolina,8.0,7.0,2.0,2.0,2.0,55.0,13.0,8.0,5.0,1.0
37151,Randolph,North Carolina,2.0,2.0,2.0,2.0,2.0,136.0,57.0,35.0,12.0,12.0
37153,Richmond,North Carolina,5.0,8.0,2.0,2.0,1.0,28.0,9.0,5.0,4.0,1.0
37155,Robeson,North Carolina,4.0,5.0,2.0,2.0,1.0,149.0,54.0,27.0,20.0,13.0
37157,Rockingham,North Carolina,2.0,2.0,2.0,2.0,2.0,85.0,24.0,13.0,9.0,4.0
37159,Rowan,North Carolina,1.0,1.0,2.0,2.0,2.0,190.0,45.0,17.0,23.0,10.0
37161,Rutherford,North Carolina,4.0,5.0,2.0,2.0,2.0,91.0,26.0,14.0,7.0,7.0
37163,Sampson,North Carolina,6.0,4.0,2.0,2.0,1.0,56.0,22.0,12.0,8.0,2.0
37165,Scotland,North Carolina,6.0,5.0,2.0,2.0,1.0,48.0,18.0,9.0,2.0,8.0
37167,Stanly,North Carolina,6.0,3.0,2.0,2.0,2.0,68.0,20.0,11.0,6.0,4.0
37169,Stokes,North Carolina,2.0,2.0,2.0,2.0,2.0,27.0,12.0,9.0,2.0,3.0
37171,Surry,North Carolina,4.0,5.0,2.0,2.0,2.0,102.0,35.0,17.0,12.0,8.0
37173,Swain,North Carolina,8.0,7.0,2.0,2.0,2.0,22.0,9.0,7.0,1.0,1.0
37175,Transylvania,North Carolina,6.0,5.0,2.0,2.0,2.0,81.0,21.0,13.0,5.0,5.0
37177,Tyrrell,North Carolina,9.0,8.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
37179,Union,North Carolina,1.0,1.0,2.0,2.0,2.0,462.0,157.0,64.0,78.0,24.0
37181,Vance,North Carolina,4.0,3.0,2.0,2.0,2.0,48.0,15.0,10.0,3.0,4.0
37183,Wake,North Carolina,1.0,1.0,2.0,2.0,2.0,3918.0,940.0,330.0,412.0,303.0
37185,Warren,North Carolina,8.0,4.0,2.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0
37187,Washington,North Carolina,7.0,9.0,1.0,2.0,1.0,8.0,5.0,2.0,1.0,1.0
37189,Watauga,North Carolina,5.0,8.0,2.0,2.0,2.0,191.0,40.0,25.0,13.0,8.0
37191,Wayne,North Carolina,3.0,2.0,2.0,2.0,2.0,199.0,54.0,23.0,18.0,15.0
37193,Wilkes,North Carolina,6.0,3.0,2.0,2.0,2.0,80.0,24.0,11.0,11.0,4.0
37195,Wilson,North Carolina,4.0,3.0,2.0,2.0,2.0,113.0,29.0,11.0,16.0,7.0
37197,Yadkin,North Carolina,2.0,2.0,2.0,2.0,2.0,20.0,9.0,8.0,0.0,0.0
37199,Yancey,North Carolina,8.0,7.0,2.0,2.0,2.0,27.0,10.0,5.0,4.0,3.0
38001,Adams,North Dakota,9.0,12.0,0.0,1.0,1.0,18.0,11.0,7.0,2.0,2.0
