County,Region,Public_Enrollees,PCP_Count,Availability_Gap,Avoidable_Util_Burden,Risk_Index_raw,Availability_Gap_Score,Util_Burden_Score,Risk_Index_Score,Composite_Need_Score,Total_ED,E_TOTPOP,AVG_MC_Enrollees,AVG_MA_Enrollments_2023_FY,RPL_THEMES,OBESITY_age-adjusted_prevalence,DIABETES_age-adjusted_prevalence,CSMOKING_age-adjusted_prevalence,LPA_age-adjusted_prevalence,CHD_age-adjusted_prevalence
Pender,East,22913.5833,8.00696,2861.7078689405384,690.9438432991036,0.4879,3.787991180242058e-06,22.19594694741661,30.259365994236315,17.485105576548033,15832,61592,16751.5833,6162,0.3131,31.3,10.1,16.5,23.3,6.2
Person,North Central,17095.3333,5.08703,3360.571873849402,660.9405701999053,0.4857,4.45443831595407e-06,21.23211889624115,30.05484800594962,17.09565711887636,11299,39131,11591.3333,5504,0.2727,40.5,11.9,20.1,27.3,6.7
Davie,Piedmont,16723.08333,7.3151,2286.1042287727814,1089.9903175935247,0.29900000000000004,3.019025302727423e-06,35.01495453955519,12.69870781816492,15.904555125581803,18228,43030,9849.08333,6874,0.1212,34.0,9.7,16.3,23.0,5.9
Iredell,West,63441.25,208.50129,304.2726963258947,1127.8938998223728,0.272,3.7143811410220224e-07,36.232572886440664,10.188714325555454,15.47376252781141,71555,187839,43706.25,19735,0.101,33.5,9.7,14.5,22.2,5.6
Caswell,Piedmont,10552.75,1.13735,9278.35822010971,0.0,0.6616,1.2360183612092128e-05,0.0,46.40699079669053,15.46900105229138,0,22747,6721.75,3831,0.4646,35.5,12.2,18.3,25.8,6.7
Wake,North Central,279191.917,10641.7682,26.235481897995534,1051.8033691791895,0.2912,0.0,33.788233309880084,11.973598586966627,15.253943965615571,293655,1132103,202537.917,76654,0.1616,25.6,8.9,9.7,15.8,4.8
Yadkin,West,16701.0,3.3552,4977.64515449298,0.0,0.641,6.6147341992343685e-06,0.0,44.49195872455146,14.830655113095219,0,37280,10329.0,6372,0.4444,36.1,10.7,18.9,25.6,7.0
Polk,West,6926.83333,2.53994,2727.163083709425,1237.217405775605,0.2132,3.6082488339113287e-06,39.74449178082916,4.722506274983731,14.822333888020573,8570,19538,4469.83333,2457,0.0606,32.2,8.3,11.9,18.7,5.2
Ashe,West,10230.416669999999,3.47867,2940.898023986746,824.795259800962,0.35429999999999995,3.893783643694652e-06,26.49580281605876,17.839546341916886,14.778451017253095,8438,26759,6869.41667,3361,0.1717,33.9,9.6,17.4,24.1,6.3
Cherokee,West,13590.83333,2.8868,4707.921789551825,838.9477586987849,0.32499999999999996,6.254402801837842e-06,26.950439061472796,15.115738588825877,14.022061301567158,11402,28868,9076.83333,4514,0.1414,31.5,10.6,18.2,24.4,7.1
Moore,Piedmont,32339.4167,100.759,320.95809187310226,1065.1397721363426,0.2259,3.9372862606786297e-07,34.21665321024845,5.903132843729662,13.37326214923558,34446,100759,20187.4167,12152,0.0707,32.1,9.2,12.6,18.0,5.7
Lincoln,West,30679.5,31.65588,969.1564104628773,1136.1006164995968,0.19740000000000002,1.2596758753115072e-06,36.4962062478878,3.253695268197453,13.249967591920376,34855,87933,20396.5,10283,0.0202,33.2,9.7,16.4,23.1,6.2
Perquimans,East,5041.3333299999995,0.13053,38621.73223219005,0.0,0.5481,5.15608622941507e-05,0.0,35.85572185553594,11.951924472132745,0,13053,3677.33333,1364,0.3737,33.8,10.6,14.7,21.9,6.2
Pamlico,East,4462.4166700000005,0.49268,9057.415792368694,0.0,0.5338,1.2065020107256457e-05,0.0,34.52635493167241,11.508788998897506,0,12317,3030.41667,1432,0.3434,36.6,10.9,17.2,24.1,6.4
Union,Piedmont,64726.75,376.97113,171.70214023630365,964.995137790865,0.18449999999999997,1.9433319870186717e-07,30.999597276459024,2.054476155061816,11.018024541951347,62461,240109,46831.75,17895,0.0303,31.1,9.5,11.5,19.4,5.6
Haywood,West,25892.5833,23.61776,1096.3182877496304,624.8507222201068,0.24419999999999997,1.4295551771965997e-06,20.072765124051635,7.6043506553871865,9.225705736331333,16179,62152,17179.5833,8713,0.0808,31.5,9.2,14.3,20.7,6.0
Yancey,West,7944.25,1.8538,4285.384461438957,0.0,0.4546,5.689922724539676e-06,0.0,27.163707353351313,9.05457101442468,0,18538,5294.25,2650,0.2828,32.3,9.8,15.0,22.2,6.6
Alexander,West,14767.83333,2.55535,5779.179975666748,0.0,0.4398,7.68552820419026e-06,0.0,25.787859068513523,8.595955584680576,0,36505,9791.83333,4976,0.2626,33.8,9.7,16.2,22.7,6.2
Stokes,Piedmont,20187.75,5.36352,3763.8987523307915,147.0693788525527,0.366,4.993254587071276e-06,4.724470971496402,18.927210188714323,7.883895384488437,2969,44696,11834.75,8353,0.1818,33.1,9.9,18.4,24.3,6.4
Clay,West,4709.6666700000005,0.44744,10525.78255010158,0.0,0.41250000000000003,1.4026654561208677e-05,0.0,23.249976759319516,7.7499969286580255,0,11186,3094.66667,1615,0.2323,32.7,9.6,17.9,23.7,6.2
Chatham,Piedmont,22896.0833,52.96026,432.3257262648309,607.6148138570577,0.2016,5.425079330955357e-07,19.519077134315594,3.6441387003811463,7.721072125734891,13912,76754,12279.0833,10617,0.0404,30.7,9.9,13.8,20.5,5.7
Brunswick,East,52727.0833,64.27166,820.3784137459899,694.6714480095005,0.16929999999999998,1.0609189620179637e-06,22.31569288219165,0.6414427814446372,7.652378908185084,36628,139721,32107.0833,20620,0.0101,30.9,9.2,13.9,19.8,5.8
Gates,East,3445.83333,0.0,3445833330.0,0.0,0.34609999999999996,4.603390328501375,0.0,17.0772520219392,7.2268807834801905,0,10509,2520.83333,925,0.1515,37.3,11.5,17.5,24.7,6.3
Madison,West,9067.25,2.1414,4234.260654590149,0.0,0.3105,5.621624923323678e-06,0.0,13.767779120572651,4.589261580732525,0,21414,6094.25,2973,0.1313,31.9,9.8,18.4,23.1,6.4
Camden,East,2278.91667,0.10547,21607.04525414569,0.0,0.2247,2.8830440195194664e-05,0.0,5.791577577391466,1.9305354692772205,0,10547,1715.91667,563,0.0505,34.3,9.4,15.8,21.9,5.7
Currituck,East,6283.75,2.28928,2744.857446508314,0.0,0.16240000000000002,3.631887254983066e-06,0.0,0.0,1.2106290849943554e-06,0,28616,4660.75,1623,0.0,33.2,9.0,13.7,19.7,5.6
