County,Region,E_TOTPOP,Total_ED,ED_rate_per_1000,Observed_log_ED,Predicted_log_ED,Residual,Excess_ratio,Expected_ED,Excess_ED_visits,Excess_z,Classification
Rockingham,Piedmont,91209,36881,404.357026170663,10.515451792270389,10.540013371024086,-0.024561578753697688,0.9757376023629093,37798.071849118656,-917.0718491186562,-0.039380562765343415,Expected
Rowan,Piedmont,147067,35986,244.69119516954856,10.490885252912465,10.823219488051302,-0.33233423513883764,0.7172475534513868,50172.35656899186,-14186.356568991861,-0.34442035036143603,Expected
Rutherford,West,64680,17769,274.721706864564,9.785210644945074,9.76016694915407,0.02504369579100363,1.025359923458491,17329.524583003,439.47541699700014,0.009784241504423218,Expected
Sampson,East,59317,25960,437.64856617833,10.164312170818027,9.806154837409675,0.3581573334083519,1.4306906982171577,18145.081974985816,7814.9180250141835,0.33993999496746474,Expected
Scotland,Piedmont,34222,42738,1248.8457717257904,10.662843733206408,8.293244140020176,2.3695995931862317,10.693109832769506,3996.779296985007,38741.220703014995,2.3335216434835075,Excess Burden
Stanly,Piedmont,62723,23490,374.50377054668945,10.064330077652958,9.979764702986397,0.08456537466656044,1.0882439854942487,21585.233011264027,1904.7669887359734,0.06877739734488898,Expected
Stokes,Piedmont,44696,2969,66.42652586361196,7.99598047476376,9.662165868208598,-1.666185393444838,0.18896652548502704,15711.77748217238,-12742.77748217238,-1.6664275708641783,Below Expected
Surry,West,71429,36590,512.2569264584413,10.507530258013253,9.992086740842382,0.5154435171708709,1.6743809538438523,21852.85249214097,14737.14750785903,0.49582955530150397,Expected
Swain,West,14130,7159,506.65251238499644,8.876125585396185,8.242042428681767,0.6340831567144178,1.8852928307531895,3797.2880834325997,3361.7119165674003,0.613415733592643,Expected
Transylvania,West,33131,12978,391.71772660046486,9.471010895181113,9.658089681795179,-0.18707878661406596,0.829378389896104,15647.863699011665,-2669.8636990116647,-0.20045469829348692,Expected
Tyrrell,East,3389,0,0.0,,,,,,,,No ED Facility
Union,Piedmont,240109,62461,260.13602155687624,11.042297640955464,11.43446077169058,-0.3921631307351152,0.6755938948421026,92453.47016434796,-29992.470164347964,-0.4037179949902669,Expected
Vance,North Central,42492,20572,484.1381907182529,9.931686206894806,10.245863515800382,-0.3141773089055757,0.7303895121125533,28165.793263512573,-7593.793263512573,-0.3264246486423682,Expected
